sp3AsmConvRxSU_gfx906, 15, 67568, {  32768       1       1}, {  512     1     1}, 65536, 126, 101,       512.00,    343677.62,     92992.78,     14146.00,         3.00,      1576.00,         0.00,         0.00,     19842.00,    100352.00
MIOpenConv1x1_gfx906, 15, 67620, {1605632       1       1}, {   64     1     1}, 0, 63, 98,     25088.00,      2314.00,        66.00,         0.00,       259.00,         0.00,        96.00,         0.00,     25500.12,    100352.00
MIOpenConv1x1_gfx906, 15, 67677, { 802816       1       1}, {   64     1     1}, 0, 57, 103,     12544.00,      1244.00,        59.00,         0.00,       131.00,         0.00,        80.00,         0.00,     25125.38,     25088.00
sp3AsmConv3x3F_gfx906, 10, 67727, {  32768       1       1}, {  512     1     1}, 65536, 127, 89,       512.00,    122650.67,     16434.71,      6306.00,         1.00,       400.00,         0.00,         0.00,     30975.88,     25107.34
MIOpenConv1x1_gfx906, 15, 67760, {1605632       1       1}, {   64     1     1}, 0, 63, 98,     25088.00,      2314.00,        66.00,         0.00,       259.00,         0.00,        96.00,         0.00,     25260.88,    100352.00
gcnAsmConv1x1U_gfx906, 15, 67809, {  12544       1      16}, {  256     1     1}, 0, 84, 91,      3136.00,     16531.00,      8898.00,      1024.00,      2051.00,        64.00,         0.00,         0.00,    101059.06,     25088.00
sp3AsmConv3x3F_gfx906, 10, 67859, {  32768       1       1}, {  512     1     1}, 65536, 127, 89,       512.00,    122900.35,     16511.62,      6306.00,         1.00,       400.00,         0.00,         0.00,     31101.56,     25108.22
MIOpenConv1x1_gfx906, 15, 67892, {1605632       1       1}, {   64     1     1}, 0, 63, 98,     25088.00,      2314.00,        66.00,         0.00,       259.00,         0.00,        96.00,         0.00,     25457.19,    100352.00
MIOpenConv1x1_gfx906, 15, 67942, { 802816       1       1}, {   64     1     1}, 0, 57, 103,     12544.00,      4773.00,       107.00,         0.00,       515.00,         0.00,       272.00,         0.00,    105925.19,     25088.00
sp3AsmConv3x3F_gfx906, 10, 67993, {  32768       1       1}, {  512     1     1}, 65536, 127, 89,       512.00,    122620.26,     16424.76,      6306.00,         1.00,       400.00,         0.00,         0.00,     31038.19,     25106.41
MIOpenConv1x1_gfx906, 15, 68028, {1605632       1       1}, {   64     1     1}, 0, 63, 98,     25088.00,      2314.00,        66.00,         0.00,       259.00,         0.00,        96.00,         0.00,     25326.56,    100352.00
SubSample_gfx906, 28, 68079, {  50176      64       1}, {  256     1     1}, 0, 8, 14,     50176.00,        29.00,        10.00,         0.00,         3.00,         0.00,         5.00,         0.00,     57353.06,     25088.00
MIOpenConv1x1_gfx906, 15, 68149, {1605632       1       1}, {   64     1     1}, 0, 57, 103,     25088.00,      4773.00,       106.00,         0.00,       515.00,         0.00,       272.00,         0.00,    104010.25,     50176.00
MIOpenConv1x1_gfx906, 15, 68200, {1605632       1       1}, {   64     1     1}, 0, 57, 103,     25088.00,      4773.00,       106.00,         0.00,       515.00,         0.00,       272.00,         0.00,    105415.44,     50176.00
sp3AsmConvRxSU_gfx906, 15, 68249, {  32768       1       1}, {  512     1     1}, 65536, 126, 101,       512.00,    499248.51,     65781.30,     25634.00,         3.00,       208.00,         0.00,         0.00,    268747.31,     12711.66
gcnAsmConv1x1U_gfx906, 15, 68303, {   6400       8       8}, {  256     1     1}, 0, 84, 91,      6400.00,      8339.00,      4578.00,       512.00,      1027.00,        64.00,         0.00,         0.00,     47683.12,     50176.00
gcnAsmConv1x1U_gfx906, 15, 68351, {   6400       8       8}, {  256     1     1}, 0, 84, 91,      6400.00,      8339.00,      4578.00,       512.00,      1027.00,        64.00,         0.00,         0.00,     48378.38,     50176.00
MIOpenConv1x1_gfx906, 15, 68403, { 401408       1       1}, {   64     1     1}, 0, 48, 103,      6272.00,      9833.00,       340.00,         0.00,      1027.00,         0.00,       528.00,         0.00,     82041.12,     12544.00
sp3AsmConv3x3F_gfx906, 10, 68451, {  32768       1       1}, {  512     1     1}, 65536, 127, 89,       512.00,    121199.24,     14062.43,      6434.00,         1.00,       208.00,         0.00,         0.00,     47119.56,     12582.22
gcnAsmConv1x1U_gfx906, 15, 68487, {   6400       8       8}, {  256     1     1}, 0, 84, 91,      6400.00,      8339.00,      4578.00,       512.00,      1027.00,        64.00,         0.00,         0.00,     47203.75,     50176.00
MIOpenConv1x1_gfx906, 15, 68535, { 401408       1       1}, {   64     1     1}, 0, 48, 103,      6272.00,      9833.00,       340.00,         0.00,      1027.00,         0.00,       528.00,         0.00,    100413.81,     12544.00
sp3AsmConv3x3F_gfx906, 10, 68590, {  32768       1       1}, {  512     1     1}, 65536, 127, 89,       512.00,    121145.62,     14001.93,      6434.00,         1.00,       208.00,         0.00,         0.00,     47116.50,     12585.34
gcnAsmConv1x1U_gfx906, 15, 68625, {   6400       8       8}, {  256     1     1}, 0, 84, 91,      6400.00,      8339.00,      4578.00,       512.00,      1027.00,        64.00,         0.00,         0.00,     47029.50,     50176.00
MIOpenConv1x1_gfx906, 15, 68673, { 401408       1       1}, {   64     1     1}, 0, 48, 103,      6272.00,      9833.00,       340.00,         0.00,      1027.00,         0.00,       528.00,         0.00,     77222.44,     12544.00
sp3AsmConv3x3F_gfx906, 10, 68724, {  32768       1       1}, {  512     1     1}, 65536, 127, 89,       512.00,    121177.20,     14037.87,      6434.00,         1.00,       208.00,         0.00,         0.00,     47063.69,     12588.03
gcnAsmConv1x1U_gfx906, 15, 68760, {   6400       8       8}, {  256     1     1}, 0, 84, 91,      6400.00,      8339.00,      4578.00,       512.00,      1027.00,        64.00,         0.00,         0.00,     49747.50,     50176.00
SubSample_gfx906, 28, 68811, {  50176      64       1}, {  256     1     1}, 0, 9, 14,     50176.00,        29.00,         9.00,         0.00,         3.00,         0.00,         3.00,         0.00,     35870.12,     12544.00
SubSample_gfx906, 28, 68873, {  50176      64       1}, {  256     1     1}, 0, 9, 14,     50176.00,        29.00,         9.00,         0.00,         3.00,         0.00,         3.00,         0.00,     35853.19,     12544.00
gcnAsmConv1x1U_gfx906, 15, 68937, {   1280       4      32}, {  256     1     1}, 0, 104, 91,      2560.00,     41139.00,     11250.00,      1024.00,      4099.00,        80.00,         0.00,         0.00,    148851.19,     25090.69
gcnAsmConv1x1U_gfx906, 15, 68989, {   1280       4      32}, {  256     1     1}, 0, 104, 91,      2560.00,     41139.00,     11250.00,      1024.00,      4099.00,        80.00,         0.00,         0.00,    132017.12,     25091.12
sp3AsmConvRxSU_gfx906, 17, 69040, {  32768       1       1}, {  512     1     1}, 65536, 126, 101,       512.00,    516831.14,     66497.28,     26658.00,         3.00,       112.00,         0.00,         0.00,    311802.88,      6704.97
MIOpenConv1x1_gfx906, 17, 69094, { 802816       1       1}, {   64     1     1}, 0, 44, 103,     12544.00,      4324.00,        54.00,         0.00,       515.00,         0.00,       272.00,         0.00,      7753.44,     26835.19
MIOpenConv1x1_gfx906, 17, 69150, { 802816       1       1}, {   64     1     1}, 0, 44, 103,     12544.00,      4324.00,        54.00,         0.00,       515.00,         0.00,       272.00,         0.00,      7718.12,     26825.72
gcnAsmConv1x1U_gfx906, 17, 69216, {    512       2      64}, {  512     1     1}, 0, 84, 91,      1024.00,     65683.00,     22386.00,      2048.00,      8195.00,        64.00,         0.00,         0.00,     46734.31,      6272.19
sp3AsmConv3x3F_gfx906, 10, 69275, {  32768       1       1}, {  512     1     1}, 65536, 127, 89,       512.00,    124285.69,     13450.99,      6690.00,         1.00,       112.00,         0.00,         0.00,     50817.69,      6593.84
MIOpenConv1x1_gfx906, 17, 69312, { 802816       1       1}, {   64     1     1}, 0, 44, 103,     12544.00,      4324.00,        54.00,         0.00,       515.00,         0.00,       272.00,         0.00,      7722.00,     26921.94
gcnAsmConv1x1U_gfx906, 17, 69372, {    512       2      64}, {  512     1     1}, 0, 84, 91,      1024.00,     65683.00,     22386.00,      2048.00,      8195.00,        64.00,         0.00,         0.00,     47417.75,      6272.00
sp3AsmConv3x3F_gfx906, 10, 69427, {  32768       1       1}, {  512     1     1}, 65536, 127, 89,       512.00,    124191.68,     13315.71,      6690.00,         1.00,       112.00,         0.00,         0.00,     50809.38,      6594.16
gcnAsmConv1x1U_gfx906, 17, 69462, {    256      32      22}, {  128     1     1}, 0, 124, 91,      2816.00,     24787.00,      7826.00,       768.00,      2051.00,        96.00,         0.00,         0.00,     11734.00,     25933.94
gcnAsmConv1x1U_gfx906, 17, 69525, {    512       2      64}, {  512     1     1}, 0, 84, 91,      1024.00,     65683.00,     22386.00,      2048.00,      8195.00,        64.00,         0.00,         0.00,     47168.50,      6272.00
sp3AsmConv3x3F_gfx906, 10, 69582, {  32768       1       1}, {  512     1     1}, 65536, 127, 89,       512.00,    124272.69,     13436.09,      6690.00,         1.00,       112.00,         0.00,         0.00,     50808.19,      6595.00
MIOpenConv1x1_gfx906, 17, 69614, { 802816       1       1}, {   64     1     1}, 0, 44, 103,     12544.00,      4324.00,        54.00,         0.00,       515.00,         0.00,       272.00,         0.00,      8037.75,     26988.91
gcnAsmConv1x1U_gfx906, 17, 69678, {    512       2      64}, {  512     1     1}, 0, 84, 91,      1024.00,     65683.00,     22386.00,      2048.00,      8195.00,        64.00,         0.00,         0.00,     47327.81,      6272.00
sp3AsmConv3x3F_gfx906, 10, 69730, {  32768       1       1}, {  512     1     1}, 65536, 127, 89,       512.00,    124286.80,     13458.90,      6690.00,         1.00,       112.00,         0.00,         0.00,     50786.75,      6594.31
MIOpenConv1x1_gfx906, 17, 69760, { 802816       1       1}, {   64     1     1}, 0, 44, 103,     12544.00,      4324.00,        54.00,         0.00,       515.00,         0.00,       272.00,         0.00,      7619.44,     26984.50
gcnAsmConv1x1U_gfx906, 17, 69823, {    512       2      64}, {  512     1     1}, 0, 84, 91,      1024.00,     65683.00,     22386.00,      2048.00,      8195.00,        64.00,         0.00,         0.00,     46891.12,      6272.38
sp3AsmConv3x3F_gfx906, 10, 69880, {  32768       1       1}, {  512     1     1}, 65536, 127, 89,       512.00,    124309.19,     13492.46,      6690.00,         1.00,       112.00,         0.00,         0.00,     50790.12,      6593.81
MIOpenConv1x1_gfx906, 17, 69913, { 802816       1       1}, {   64     1     1}, 0, 44, 103,     12544.00,      4324.00,        54.00,         0.00,       515.00,         0.00,       272.00,         0.00,      7788.19,     26955.41
SubSample_gfx906, 28, 69974, {  50176      64       1}, {  256     1     1}, 0, 9, 14,     50176.00,        29.00,         9.00,         0.00,         3.00,         0.00,         2.00,         0.00,     25288.00,      6272.00
SubSample_gfx906, 28, 70035, {  50176      64       1}, {  256     1     1}, 0, 9, 14,     50176.00,        29.00,         9.00,         0.00,         3.00,         0.00,         2.00,         0.00,     25255.50,      6272.00
gcnAsmConv1x1U_gfx906, 17, 70099, {    512       4      64}, {  512     1     1}, 0, 84, 91,      2048.00,     65683.00,     22386.00,      1024.00,      8195.00,        64.00,         0.00,         0.00,     54706.00,     12544.19
sp3AsmConvRxSU_gfx906, 17, 70160, {  32768       1       1}, {  512     1     1}, 65536, 126, 101,       512.00,    634392.02,     80983.30,     32802.00,         3.00,        72.00,         0.00,         0.00,    140329.00,      3136.00
gcnAsmConv1x1U_gfx906, 17, 70221, {    512      32       8}, {  512     1     1}, 0, 100, 80,      2048.00,     32915.00,     13330.00,      2048.00,      2051.00,        64.00,         0.00,         0.00,     11927.56,     12583.16
gcnAsmConv1x1U_gfx906, 17, 70265, {    512      32       8}, {  512     1     1}, 0, 100, 80,      2048.00,     32915.00,     13330.00,      2048.00,      2051.00,        64.00,         0.00,         0.00,     12108.62,     12564.69
gcnAsmConv1x1U_gfx906, 20, 70322, {    512       4      16}, {  512     1     1}, 0, 84, 91,       512.00,    131219.00,     44658.00,      4096.00,     16387.00,        64.00,         0.00,         0.00,     23985.31,      3136.06
sp3AsmConv3x3F_gfx906, 10, 70385, {  32768       1       1}, {  512     1     1}, 65536, 127, 89,       512.00,    151956.73,     15999.84,      8226.00,         1.00,        72.00,         0.00,         0.00,     29693.19,      3136.00
gcnAsmConv1x1U_gfx906, 17, 70418, {    512      32       8}, {  512     1     1}, 0, 100, 80,      2048.00,     32915.00,     13330.00,      2048.00,      2051.00,        64.00,         0.00,         0.00,     12204.94,     12568.16
gcnAsmConv1x1U_gfx906, 20, 70474, {    512       4      16}, {  512     1     1}, 0, 84, 91,       512.00,    131219.00,     44658.00,      4096.00,     16387.00,        64.00,         0.00,         0.00,     22022.25,      3136.19
sp3AsmConv3x3F_gfx906, 10, 70540, {  32768       1       1}, {  512     1     1}, 65536, 127, 89,       512.00,    151988.03,     16044.06,      8226.00,         1.00,        72.00,         0.00,         0.00,     29683.31,      3136.00
gcnAsmConv1x1U_gfx906, 17, 70569, {    512      32       8}, {  512     1     1}, 0, 100, 80,      2048.00,     32915.00,     13330.00,      2048.00,      2051.00,        64.00,         0.00,         0.00,     12081.44,     12583.34
